"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 20 09:43:43 CEST 2021","Tue Jul 20 09:44:02 CEST 2021","19683","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint FR @SC2A | {""articlenumber"":""FA020116800""}","SC2A Hint FR @SC2A | {""articlenumber"":""FA020116800""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:44:17 CEST 2021","Tue Jul 20 09:44:30 CEST 2021","13513","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint FR @SC2A | {""articlenumber"":""HA042000001""}","SC2A Hint FR @SC2A | {""articlenumber"":""HA042000001""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:52:03 CEST 2021","Tue Jul 20 09:52:17 CEST 2021","13625","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint NL @SC2A | {""articlenumber"":""HA042000001""}","SC2A Hint NL @SC2A | {""articlenumber"":""HA042000001""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:59:41 CEST 2021","Tue Jul 20 09:59:55 CEST 2021","13891","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint ZA @SC2A | {""articlenumber"":""HA042000001""}","SC2A Hint ZA @SC2A | {""articlenumber"":""HA042000001""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 10:01:31 CEST 2021","Tue Jul 20 10:01:45 CEST 2021","13754","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint ES @SC2A | {""articlenumber"":""LA012000002""}","SC2A Hint ES @SC2A | {""articlenumber"":""LA012000002""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:33:58 CEST 2021","Tue Jul 20 09:34:12 CEST 2021","13552","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint DE @SC2A | {""articlenumber"":""HA042000001""}","SC2A Hint DE @SC2A | {""articlenumber"":""HA042000001""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:44:45 CEST 2021","Tue Jul 20 09:44:57 CEST 2021","12423","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint FR @SC2A | {""articlenumber"":""LA012000002""}","SC2A Hint FR @SC2A | {""articlenumber"":""LA012000002""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:38:20 CEST 2021","Tue Jul 20 09:38:35 CEST 2021","14615","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint AT @SC2A | {""articlenumber"":""LA012000002""}","SC2A Hint AT @SC2A | {""articlenumber"":""LA012000002""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:44:31 CEST 2021","Tue Jul 20 09:44:45 CEST 2021","14044","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint FR @SC2A | {""articlenumber"":48690113540}","SC2A Hint FR @SC2A | {""articlenumber"":48690113540}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:40:24 CEST 2021","Tue Jul 20 09:40:39 CEST 2021","14668","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint CA @SC2A | {""articlenumber"":""HA042000001""}","SC2A Hint CA @SC2A | {""articlenumber"":""HA042000001""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:58:37 CEST 2021","Tue Jul 20 09:58:50 CEST 2021","12989","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint PT @SC2A | {""articlenumber"":48690113540}","SC2A Hint PT @SC2A | {""articlenumber"":48690113540}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:50:57 CEST 2021","Tue Jul 20 09:51:11 CEST 2021","14187","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint LU @SC2A | {""articlenumber"":48690113540}","SC2A Hint LU @SC2A | {""articlenumber"":48690113540}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:59:04 CEST 2021","Tue Jul 20 09:59:26 CEST 2021","22135","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint ZA @SC2A | {""articlenumber"":""FA020116800""}","SC2A Hint ZA @SC2A | {""articlenumber"":""FA020116800""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:39:24 CEST 2021","Tue Jul 20 09:39:36 CEST 2021","12463","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint AU @SC2A | {""articlenumber"":48690113540}","SC2A Hint AU @SC2A | {""articlenumber"":48690113540}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:38:56 CEST 2021","Tue Jul 20 09:39:09 CEST 2021","13115","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint AU @SC2A | {""articlenumber"":""FA012000001""}","SC2A Hint AU @SC2A | {""articlenumber"":""FA012000001""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:43:25 CEST 2021","Tue Jul 20 09:43:42 CEST 2021","17123","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint FI @SC2A | {""articlenumber"":""LA012000002""}","SC2A Hint FI @SC2A | {""articlenumber"":""LA012000002""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 10:04:57 CEST 2021","Tue Jul 20 10:05:09 CEST 2021","12271","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint GB @SC2A | {""articlenumber"":""HA042000001""}","SC2A Hint GB @SC2A | {""articlenumber"":""HA042000001""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:59:27 CEST 2021","Tue Jul 20 09:59:41 CEST 2021","14129","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint ZA @SC2A | {""articlenumber"":""FA012000001""}","SC2A Hint ZA @SC2A | {""articlenumber"":""FA012000001""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:52:17 CEST 2021","Tue Jul 20 09:52:31 CEST 2021","14000","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint NL @SC2A | {""articlenumber"":48690113540}","SC2A Hint NL @SC2A | {""articlenumber"":48690113540}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 10:02:47 CEST 2021","Tue Jul 20 10:03:02 CEST 2021","14937","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint SE @SC2A | {""articlenumber"":""LA012000002""}","SC2A Hint SE @SC2A | {""articlenumber"":""LA012000002""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:58:09 CEST 2021","Tue Jul 20 09:58:23 CEST 2021","13352","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint PT @SC2A | {""articlenumber"":""FA012000001""}","SC2A Hint PT @SC2A | {""articlenumber"":""FA012000001""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:42:06 CEST 2021","Tue Jul 20 09:42:20 CEST 2021","14102","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint DK @SC2A | {""articlenumber"":""LA012000002""}","SC2A Hint DK @SC2A | {""articlenumber"":""LA012000002""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:45:47 CEST 2021","Tue Jul 20 09:46:00 CEST 2021","13200","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint IT @SC2A | {""articlenumber"":48690113540}","SC2A Hint IT @SC2A | {""articlenumber"":48690113540}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 10:03:37 CEST 2021","Tue Jul 20 10:03:50 CEST 2021","13256","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint CH @SC2A | {""articlenumber"":""HA042000001""}","SC2A Hint CH @SC2A | {""articlenumber"":""HA042000001""}","tests if the SC2A hint is displayed"
